=== supervisor: starting worker (restart 0/20) at 2026-08-03T12:38:01Z
{
	"scope": "sample",
	"manifest": "/Users/Flo/GitHub/palette/research/v3/data/oracle-ladder/manifest.json",
	"prompt": "group-a.v1/B",
	"prompt_hash": "c46f055e873fe7a0b9b569b1fd1444a194d3803ff11196e4f71441b7d07e6fc4",
	"artworks": 400,
	"images": 1800,
	"already_done": 0,
	"queued": 1800,
	"poisoned_over_attempt_cap": 0,
	"queued_by_long_edge_bin": {
		"0-160": 452,
		"161-240": 15,
		"241-340": 474,
		"341-440": 60,
		"441-560": 270,
		"561-680": 238,
		"681-900": 242,
		"901-1400": 25,
		"1401+": 24
	},
	"largest_queued_px": 3000,
	"resolution_policy": "native",
	"out": "../../data/oracle-ladder/ladder-codec-control-1.jsonl",
	"constrained_decoding": true
}
loading mlx-community/Qwen3-VL-30B-A3B-Instruct-6bit @ f31102655767 ...
 Fetching 18 files:   0%|          | 0/18 [00:00<?, ?it/s] Fetching 18 files: 100%|██████████| 18/18 [00:00<00:00, 5266.29it/s]
model loaded in 4.4s
canary baseline set: {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[338/1800] 173ad1f508d4 147px ok 1.8s (2.7s/item avg, ~65 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[339/1800] e26a65cbe5e6 300px ok 1.9s (2.7s/item avg, ~65 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[340/1800] af6d25775d62 147px ok 1.9s (2.7s/item avg, ~65 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[341/1800] d6ff23ac29d7 147px ok 1.9s (2.7s/item avg, ~65 min left) {'ground_type': 'pattern_or_texture', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[342/1800] 37379ec330d1 483px ok 2.4s (2.7s/item avg, ~65 min left) {'ground_type': 'pattern_or_texture', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'thick_frame_or_bars', 'confidence': 'high', 'ambiguity_note': ''}
[343/1800] c4aed9dadecc 695px ok 2.8s (2.7s/item avg, ~65 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'distinct_areas', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[344/1800] 3c44f3e4c5dd 253px ok 1.9s (2.7s/item avg, ~65 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[345/1800] 625469555439 700px ok 2.8s (2.7s/item avg, ~64 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[346/1800] c869762d1298 333px ok 2.0s (2.7s/item avg, ~64 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[347/1800] 3530fe30e288 640px ok 2.6s (2.7s/item avg, ~64 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[348/1800] e26a65cbe5e6 300px ok 1.9s (2.7s/item avg, ~64 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[349/1800] 31232794819b 147px ok 1.9s (2.7s/item avg, ~64 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[350/1800] 97556e0daafe 147px ok 2.0s (2.7s/item avg, ~64 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[351/1800] 1f99a6b00ed0 333px ok 2.1s (2.6s/item avg, ~64 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[352/1800] 365d8fe1c663 700px ok 2.7s (2.6s/item avg, ~64 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[353/1800] a5551a1164ee 700px ok 2.8s (2.7s/item avg, ~64 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[354/1800] 223404adc300 147px ok 2.0s (2.6s/item avg, ~64 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[355/1800] d76d845e33b9 147px ok 1.9s (2.6s/item avg, ~64 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'linear', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[356/1800] 1c163c99a50e 147px ok 1.9s (2.6s/item avg, ~64 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[357/1800] 24f5b46cc830 640px ok 2.6s (2.6s/item avg, ~64 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'distinct_areas', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[358/1800] a881b66f8786 1200px ok 5.5s (2.7s/item avg, ~64 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[359/1800] 80bc63f9ccd2 482px ok 2.3s (2.7s/item avg, ~64 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[360/1800] a1f9a49f1822 332px ok 2.1s (2.6s/item avg, ~64 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[361/1800] 3f9ecb4a1097 147px ok 1.9s (2.6s/item avg, ~63 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'distinct_areas', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[362/1800] 8bf81338a085 333px ok 2.1s (2.6s/item avg, ~63 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[363/1800] 17aabbb1db7a 700px ok 2.9s (2.6s/item avg, ~63 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[364/1800] 69b253a10904 483px ok 2.5s (2.6s/item avg, ~63 min left) {'ground_type': 'pattern_or_texture', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[365/1800] 244939ff948d 147px ok 1.9s (2.6s/item avg, ~63 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[366/1800] e7791800399b 640px ok 2.8s (2.6s/item avg, ~63 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[367/1800] 34b0f78d4048 640px ok 2.7s (2.6s/item avg, ~63 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[368/1800] f473c90240c6 700px ok 3.0s (2.6s/item avg, ~63 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[369/1800] 5e56661336a9 147px ok 2.0s (2.6s/item avg, ~63 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[370/1800] 0d8aac2e49fa 640px ok 2.7s (2.6s/item avg, ~63 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[371/1800] 4023fbec1f24 368px ok 2.2s (2.6s/item avg, ~63 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'distinct_areas', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[372/1800] d7c7e2b2b9bc 640px ok 2.8s (2.6s/item avg, ~63 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[373/1800] 291cb109743c 700px ok 3.0s (2.6s/item avg, ~63 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[374/1800] d37067c46e2d 483px ok 2.4s (2.6s/item avg, ~63 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'distinct_areas', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[375/1800] c1be47defc3c 640px ok 2.7s (2.6s/item avg, ~63 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[376/1800] c0d7f5933e81 147px ok 2.0s (2.6s/item avg, ~63 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[377/1800] c90cb65ca84c 147px ok 2.0s (2.6s/item avg, ~63 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[378/1800] 2972aaf2f91a 1000px ok 4.1s (2.6s/item avg, ~63 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[379/1800] bb2c6d36183d 253px ok 2.1s (2.6s/item avg, ~63 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'distinct_areas', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[380/1800] a881b66f8786 1079px ok 4.8s (2.6s/item avg, ~63 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'distinct_areas', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[381/1800] e4c6f4ef4e9f 147px ok 2.0s (2.6s/item avg, ~63 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[382/1800] 2ab00e5fcb74 640px ok 2.8s (2.6s/item avg, ~63 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'thick_frame_or_bars', 'confidence': 'high', 'ambiguity_note': ''}
[383/1800] 7f8688ad0434 112px ok 2.0s (2.6s/item avg, ~62 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[384/1800] 5008f4f9890d 147px ok 2.0s (2.6s/item avg, ~62 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[385/1800] c1be47defc3c 482px ok 2.4s (2.6s/item avg, ~62 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[386/1800] b624180080fd 482px ok 2.3s (2.6s/item avg, ~62 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[387/1800] 49b33cfa0bdb 333px ok 2.1s (2.6s/item avg, ~62 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[388/1800] 108135dfc671 147px ok 2.0s (2.6s/item avg, ~62 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[389/1800] d5c5ca3c64fd 483px ok 2.4s (2.6s/item avg, ~62 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[390/1800] 2eef445a1846 700px ok 3.0s (2.6s/item avg, ~62 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[391/1800] e7d3018bf490 147px ok 2.1s (2.6s/item avg, ~62 min left) {'ground_type': 'pattern_or_texture', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[392/1800] d37067c46e2d 600px ok 2.8s (2.6s/item avg, ~62 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'distinct_areas', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[393/1800] d9290c57b7ff 482px ok 2.4s (2.6s/item avg, ~62 min left) {'ground_type': 'pattern_or_texture', 'shading_geometry': 'not_applicable', 'field_texture': 'distinct_areas', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[394/1800] 3530fe30e288 333px ok 2.1s (2.6s/item avg, ~62 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[395/1800] b090791e3f86 147px ok 2.1s (2.6s/item avg, ~62 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[396/1800] 0e21cd4a9245 147px ok 2.0s (2.6s/item avg, ~62 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[397/1800] c94aa7c13637 147px ok 2.0s (2.6s/item avg, ~62 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[398/1800] 6080f8ca35e3 700px ok 3.1s (2.6s/item avg, ~62 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[399/1800] 3f9ecb4a1097 333px ok 2.1s (2.6s/item avg, ~61 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'distinct_areas', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[400/1800] d7c7e2b2b9bc 640px ok 2.8s (2.6s/item avg, ~61 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'distinct_areas', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[401/1800] 3c44f3e4c5dd 147px ok 2.0s (2.6s/item avg, ~61 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[402/1800] 97556e0daafe 640px ok 2.9s (2.6s/item avg, ~61 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[403/1800] 9bd4c540518f 483px ok 2.6s (2.6s/item avg, ~61 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[404/1800] c9e936c4cac2 332px ok 2.1s (2.6s/item avg, ~61 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[405/1800] 329f6fd3e3a4 333px ok 2.1s (2.6s/item avg, ~61 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[406/1800] 4a7578f0a976 368px ok 2.3s (2.6s/item avg, ~61 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[407/1800] 0f2af71d76af 333px ok 2.2s (2.6s/item avg, ~61 min left) {'ground_type': 'pattern_or_texture', 'shading_geometry': 'not_applicable', 'field_texture': 'distinct_areas', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[408/1800] b931c2eb5c70 147px ok 2.2s (2.6s/item avg, ~61 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[409/1800] b5cefa1644ae 147px ok 2.0s (2.6s/item avg, ~61 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'distinct_areas', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[410/1800] 97556e0daafe 482px ok 2.5s (2.6s/item avg, ~61 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[411/1800] fda547c58900 482px ok 2.5s (2.6s/item avg, ~61 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[412/1800] 2d88913489ef 483px ok 2.5s (2.6s/item avg, ~61 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'thick_frame_or_bars', 'confidence': 'high', 'ambiguity_note': ''}
[413/1800] 1b823ac3b1fe 483px ok 2.5s (2.6s/item avg, ~61 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[414/1800] 4b8ff6f32df3 220px ok 2.1s (2.6s/item avg, ~61 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[415/1800] b24ad50dce60 600px ok 2.7s (2.6s/item avg, ~61 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[416/1800] f16b9facbba4 333px ok 2.3s (2.6s/item avg, ~61 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'thick_frame_or_bars', 'confidence': 'high', 'ambiguity_note': ''}
[417/1800] 5068811781cd 1082px ok 4.9s (2.6s/item avg, ~61 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[418/1800] f21205c7ab80 147px ok 2.0s (2.6s/item avg, ~61 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[419/1800] b26709a4ea6f 332px ok 2.2s (2.6s/item avg, ~61 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[420/1800] 701588c7a009 112px ok 2.0s (2.6s/item avg, ~60 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[421/1800] 4d47019d037c 700px ok 3.0s (2.6s/item avg, ~60 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[422/1800] 2f873801e960 640px ok 2.9s (2.6s/item avg, ~60 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[423/1800] 0d8aac2e49fa 333px ok 2.3s (2.6s/item avg, ~60 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[424/1800] 0e21cd4a9245 333px ok 2.1s (2.6s/item avg, ~60 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[425/1800] 7a569591f640 333px ok 2.2s (2.6s/item avg, ~60 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[426/1800] 2eac7e11f364 147px ok 2.1s (2.6s/item avg, ~60 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[427/1800] ab05370a44cf 640px ok 2.9s (2.6s/item avg, ~60 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[428/1800] 9f798b19af31 483px ok 2.5s (2.6s/item avg, ~60 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[429/1800] 9aa497922a1d 147px ok 2.1s (2.6s/item avg, ~60 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[430/1800] fe628d3ec244 147px ok 2.0s (2.6s/item avg, ~60 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[431/1800] 108135dfc671 700px ok 3.1s (2.6s/item avg, ~60 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[432/1800] ce42be3bb72a 700px ok 3.0s (2.6s/item avg, ~60 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[433/1800] 1a5bbbaa74b0 482px ok 2.4s (2.6s/item avg, ~60 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[434/1800] d36a9e61e776 147px ok 2.1s (2.6s/item avg, ~60 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[435/1800] 6e3ac541454e 112px ok 2.1s (2.6s/item avg, ~60 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[436/1800] ea7e2ae9c5d5 332px ok 2.1s (2.6s/item avg, ~60 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[437/1800] abdd2df04922 112px ok 2.0s (2.6s/item avg, ~60 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[438/1800] c40760e8d37b 147px ok 2.1s (2.6s/item avg, ~59 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'thick_frame_or_bars', 'confidence': 'high', 'ambiguity_note': ''}
[439/1800] b0c952d5c8f4 700px ok 3.0s (2.6s/item avg, ~59 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'distinct_areas', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[440/1800] 6e3ac541454e 483px ok 2.4s (2.6s/item avg, ~59 min left) {'ground_type': 'full_scene', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[441/1800] c9e936c4cac2 147px ok 2.0s (2.6s/item avg, ~59 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[442/1800] 48c2e209baf5 640px ok 2.9s (2.6s/item avg, ~59 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[443/1800] bd639210cfc7 368px ok 2.3s (2.6s/item avg, ~59 min left) {'ground_type': 'shaded_field', 'shading_geometry': 'radial_or_vignette', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
